i,len
0,0
1,1
2,2
3,3
4,4
5,5
6,5
7,4
8,5
9,6
10,7
11,5
12,4
13,5
14,6
15,7
16,5
17,3
18,4
19,5
20,6
21,4
22,5
23,6
24,6
25,3
26,4
27,5
28,6
29,5
30,6
31,3
32,4
33,5
34,5
35,4
36,5
37,5
38,6
39,7
40,2
41,3
42,4
43,5
44,5
45,4
46,5
47,4
48,5
49,6
50,5
51,6
52,3
53,4
54,4
55,5
56,6
57,7
58,6
59,7
60,5
61,6
62,6
63,3
64,4
65,5
66,6
67,7
68,5
69,6
70,7
71,4
72,5
73,5
74,5
75,6
76,3
77,4
78,4
79,5
80,5
81,2
82,3
83,4
84,5
85,6
86,7
87,4
88,5
89,6
90,7
91,5
92,6
93,6
94,3
95,4
96,5
97,6
98,5
99,6
100,6
101,3
102,4
103,5
104,6
105,7
106,5
107,6
108,7
109,4
110,5
111,6
112,7
113,8
114,5
115,6
116,6
117,2
118,3
119,4
120,5
121,6
122,5
123,6
124,4
125,3
126,4
127,5
128,6
129,6
130,7
131,5
132,6
133,6
134,7
135,4
136,3
137,4
138,5
139,6
140,7
141,5
142,6
143,4
144,5
145,6
146,7
147,8
148,4
149,5
150,6
151,5
152,6
153,2
154,3
155,4
156,5
157,5
158,4
159,5
160,5
161,6
162,3
163,4
164,5
165,6
166,7
167,4
168,5
169,6
170,5
171,6
172,7
173,8
174,6
175,4
176,5
177,6
178,3
179,4
180,5
181,5
182,4
183,5
184,6
185,5
186,6
187,4
188,5
189,6
190,7
191,8
192,5
193,6
194,2
195,3
196,4
197,5
198,5
199,4
200,5
201,3
202,4
203,5
204,6
205,7
206,6
207,4
208,5
209,3
210,4
211,5
212,6
213,5
214,6
215,4
216,5
217,4
218,5
219,5
220,3
221,4
222,5
223,6
224,4
225,5
226,6
227,7
228,1
229,2
230,3
231,4
232,5
233,5
234,6
235,4
236,5
237,6
238,7
239,4
240,5
241,6
242,7
243,3
244,4
245,5
246,6
247,7
248,5
249,4
250,5
251,4
252,5
253,6
254,7
255,8
256,6
257,7
258,5
259,6
260,3
261,4
262,5
263,6
264,6
265,5
266,6
267,6
268,4
269,5
270,6
271,7
272,3
273,4
274,5
275,6
276,5
277,4
278,5
279,2
280,3
281,4
282,5
283,6
284,7
285,4
286,5
287,4
288,5
289,3
290,4
291,5
292,6
293,5
294,6
295,7
296,4
297,5
298,4
299,5
300,3
301,4
302,5
303,6
304,6
305,7
306,8
307,5
308,6
309,6
310,4
311,5
312,6
313,7
314,6
315,7
316,8
317,3
318,4
319,5
320,6
321,5
322,6
323,7
324,5
325,6
326,7
327,4
328,5
329,6
330,7
331,5
332,6
333,7
334,4
335,5
336,6
337,7
338,5
339,5
340,2
341,3
342,4
343,5
344,6
345,7
346,5
347,5
348,4
349,5
350,6
351,7
352,8
353,5
354,6
355,6
356,3
357,4
358,5
359,6
360,7
361,5
362,6
363,6
364,5
365,6
366,6
367,4
368,5
369,6
370,7
371,6
372,7
373,3
374,4
375,5
376,5
377,5
378,6
379,4
380,5
381,6
382,7
383,8
384,5
385,5
386,6
387,2
388,3
389,4
390,5
391,6
392,7
393,5
394,6
395,7
396,4
397,5
398,6
399,7
400,4
401,5
402,6
403,4
404,5
405,3
406,4
407,5
408,6
409,6
410,4
411,5
412,6
413,7
414,7
415,6
416,7
417,8
418,4
419,3
420,4
421,5
422,6
423,6
424,7
425,4
426,5
427,6
428,6
429,7
430,5
431,6
432,6
433,7
434,4
435,5
436,6
437,7
438,8
439,2
440,3
441,4
442,5
443,4
444,5
445,6
446,7
447,6
448,4
449,5
450,6
451,3
452,4
453,5
454,5
455,6
456,4
457,5
458,6
459,7
460,3
461,4
462,5
463,6
464,4
465,5
466,6
467,7
468,4
469,5
470,6
471,7
472,6
473,5
474,6
475,6
476,3
477,4
478,5
479,6
480,7
481,8
482,5
483,6
484,4
485,5
486,5
487,4
488,5
489,6
490,5
491,6
492,6
493,1
494,2
495,3
496,4
497,5
498,5
499,6
500,4
501,5
502,6
503,4
504,5
505,6
506,3
507,4
508,5
509,6
510,7
511,4
512,5
513,6
514,7
515,4
516,5
517,6
518,7
519,6
520,5
521,6
522,7
523,6
524,7
525,3
526,4
527,5
528,5
529,6
530,7
531,4
532,5
533,5
534,5
535,4
536,5
537,6
538,5
539,6
540,7
541,8
542,6
543,7
544,3
545,4
546,5
547,6
548,4
549,5
550,6
551,7
552,4
553,5
554,6
555,7
556,6
557,2
558,3
559,4
560,5
561,6
562,5
563,4
564,5
565,6
566,7
567,6
568,7
569,8
570,5
571,6
572,7
573,7
574,8
575,3
576,4
577,5
578,6
579,7
580,8
581,6
582,7
583,5
584,6
585,4
586,5
587,6
588,7
589,7
590,5
591,4
592,5
593,5
594,3
595,4
596,5
597,6
598,7
599,6
600,6
601,4
602,5
603,6
604,7
605,6
606,7
607,4
608,5
609,6
610,7
611,8
612,2
613,3
614,4
615,5
616,6
617,7
618,5
619,6
620,7
621,7
622,8
623,6
624,7
625,4
626,5
627,6
628,7
629,8
630,5
631,6
632,7
633,8
634,3
635,4
636,5
637,5
638,6
639,7
640,7
641,8
642,4
643,5
644,5
645,6
646,7
647,8
648,4
649,5
650,5
651,3
652,4
653,5
654,6
655,7
656,8
657,5
658,6
659,7
660,8
661,4
662,5
663,6
664,7
665,8
666,6
667,5
668,6
669,6
670,4
671,5
672,6
673,7
674,5
675,6
676,7
677,2
678,3
679,4
680,5
681,5
682,6
683,7
684,5
685,6
686,7
687,4
688,5
689,6
690,5
691,6
692,7
693,8
694,5
695,6
696,6
697,7
698,8
699,3
700,4
701,5
702,6
703,7
704,5
705,6
706,7
707,6
708,6
709,4
710,5
711,5
712,6
713,7
714,6
715,7
716,4
717,5
718,6
719,5
720,6
721,7
722,2
723,3
724,4
725,5
726,6
727,7
728,5
729,6
730,7
731,4
732,5
733,6
734,7
735,4
736,5
737,6
738,3
739,4
740,4
741,4
742,5
743,6
744,7
745,8
746,3
747,4
748,4
749,4
750,5
751,6
752,6
753,7
754,5
755,6
756,6
757,7
758,1
759,2
760,3
761,4
762,5
763,6
764,5
765,6
766,4
767,5
768,6
769,7
770,4
771,5
772,6
773,5
774,6
775,3
776,4
777,5
778,6
779,7
780,4
781,5
782,6
783,7
784,8
785,5
786,6
787,7
788,8
789,3
790,4
791,5
792,6
793,6
794,4
795,5
796,6
797,6
798,5
799,6
800,6
801,3
802,4
803,5
804,6
805,6
806,5
807,6
808,4
809,5
810,6
811,7
812,5
813,6
814,5
815,6
816,4
817,5
818,6
819,7
820,5
821,6
822,7
823,2
824,3
825,4
826,5
827,6
828,5
829,4
830,5
831,6
832,7
833,6
834,5
835,6
836,7
837,8
838,6
839,3
840,4
841,5
842,6
843,7
844,5
845,6
846,7
847,8
848,7
849,8
850,4
851,5
852,6
853,7
854,8
855,5
856,6
857,7
858,6
859,7
860,3
861,4
862,5
863,6
864,7
865,5
866,4
867,5
868,5
869,6
870,7
871,5
872,6
873,7
874,8
875,7
876,4
877,5
878,6
879,7
880,8
881,6
882,7
883,5
884,6
885,6
886,2
887,3
888,4
889,5
890,6
891,7
892,6
893,7
894,5
895,4
896,5
897,6
898,7
899,8
900,5
901,3
902,4
903,5
904,6
905,5
906,6
907,3
908,4
909,5
910,6
911,6
912,6
913,5
914,6
915,7
916,8
917,6
918,4
919,5
920,6
921,7
922,7
923,8
924,5
925,6
926,7
927,5
928,4
929,5
930,5
931,5
932,6
933,7
934,2
935,3
936,4
937,5
938,6
939,7
940,6
941,5
942,6
943,6
944,4
945,5
946,6
947,7
948,4
949,5
950,6
951,7
952,5
953,6
954,7
955,8
956,5
957,6
958,3
959,4
960,5
961,6
962,7
963,7
964,4
965,5
966,6
967,7
968,8
969,5
970,6
971,6
972,3
973,4
974,5
975,6
976,7
977,8
978,4
979,5
980,6
981,7
982,8
983,5
984,4
985,5
986,5
987,5
988,6
989,7
990,2
991,3
992,4
993,5
994,6
995,7
996,8
997,5
998,6
999,4
1000,5
1001,6
1002,5
1003,6
1004,7
1005,8
1006,3
1007,4
1008,5
1009,5
1010,6
1011,7
1012,6
1013,7
1014,3
1015,4
1016,5
1017,6
1018,7
1019,6
1020,7
1021,4
1022,5
1023,6
1024,7
1025,6
1026,7
1027,8
1028,5
1029,1
1030,2
1031,3
1032,4
1033,5
1034,5
1035,6
1036,7
1037,8
1038,6
1039,7
1040,4
1041,5
1042,6
1043,7
1044,6
1045,7
1046,3
1047,4
1048,5
1049,6
1050,7
1051,6
1052,7
1053,5
1054,3
1055,4
1056,5
1057,6
1058,7
1059,8
1060,5
